Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
LPA62 - PLUMAS COUNTY	CA3200704	LNF ALMANOR CG	A	NC	NC	PLUMAS	50	40	CA3200704_001_001	WELL 01	WL	A	RT	08-17-2020	09:02:00	08-24-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1930	TDS	130.0000000		MG/L	N	0.000000000		1000	
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_006_006	WELL 33 (INSTALLED 2014)	WL	A	RT	06-14-2022	09:47:00	06-24-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	4006	COMBINED URANIUM	10.8	0.000	PCI/L	N	1.000000000	1	20	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3200406	INDIAN FALLS COMMUNITY WATER	A	NP	SSWS	PLUMAS	24	14	CA3200406_001_001	SPRING 01	SP	A	RT	10-05-2021	13:45:00	10-07-2021	1677	BASIC LABORATORY (REDDING)	2989	CHLOROBENZENE			UG/L	Y	0.500000000	.5	70	EPA 524.2
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_002_002	WELL 02 TREATMENT PLANT - TREATED	TP	A	RT	04-07-2020	11:10:00	04-08-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1032	MANGANESE	80.0000000		UG/L	N	20.000000000		50	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_009_009	NEW NORTON WELL - STANDBY	WL	A	RT	10-06-2020	11:45:00	10-09-2020	1677	BASIC LABORATORY (REDDING)	1020	CHROMIUM			UG/L	Y	10.000000000	10	50	
DISTRICT 02 - LASSEN	CA3210010	HAMILTON BRANCH CSD	A	C	C	PLUMAS	1874	645	CA3210010_003_003	WELL 01	WL	A	RT	09-09-2021	10:12:00	10-01-2021	2670	FGL ENVIRONMENTAL (CHICO)	1015	CADMIUM			UG/L	Y	1.000000000	1	5	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3200083	CLIO RIVERS EDGE RV PARK	A	NC	NC	PLUMAS	150	201	CA3200083_001_001	WELL A	WL	A	RT	08-24-2021	09:07:00	08-26-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	SM 4500-NO3-F-00
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_003_003	WELL 9M	WL	A	RT	04-09-2019	11:06:00	04-11-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2248	NAPHTHALENE			UG/L	Y	0.500000000			
LPA62 - PLUMAS COUNTY	CA3200173	WESTEND WATER ASSOCIATION	A	NP	SSWS	PLUMAS	24	1	CA3200173_001_001	WELL 01	WL	A	RT	08-24-2020	10:34:00	08-25-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
DISTRICT 02 - LASSEN	CA3200102	WHITEHAWK RANCH MWC	A	C	C	PLUMAS	765	201	CA3200102_001_001	MCKENZIE CREEK / WEST STREAM - RAW	IN	A	RT	05-03-2022	11:10:00	05-27-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1017	CHLORIDE			MG/L	Y	1.000000000		500	EPA 300.0
DISTRICT 02 - LASSEN	CA3210010	HAMILTON BRANCH CSD	A	C	C	PLUMAS	1874	645	CA3210010_003_003	WELL 01	WL	A	RT	10-04-2022	11:28:00	10-06-2022	2718	BASIC LABORATORY, INC (CHICO)	1040	NITRATE	0.13		MG/L	N	0.050000000	.4	10	EPA 353.2
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_017_017	WELL 07	WL	A	RT	09-20-2022	10:07:00	09-26-2022	1677	BASIC LABORATORY (REDDING)	2969	P-DICHLOROBENZENE			UG/L	Y	0.500000000	.5	5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_006_006	COMMERCIAL STREET WELL	WL	A	RT	08-24-2021	10:50:00	09-10-2021	1644	MCCAMPBELL ANALYTICAL, INC.	2228	CIS-1,3-DICHLOROPROPENE			UG/L	Y	0.500000000			EPA 524.2
DISTRICT 02 - LASSEN	CA3210006	LAKE ALMANOR COUNTRY CLUB MWC	A	C	C	PLUMAS	6000	1721	CA3210006_001_001	WELL 01	WL	A	RT	07-24-2019	12:39:00	08-02-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	C033	ETHYL-TERT-BUTYL ETHER			UG/L	Y	3.000000000			
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_005_005	ARSENIC COMPLIANCE POINT	SS	A	RT	06-06-2019	11:57:00	06-10-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1005	ARSENIC	7.0000000		UG/L	N	2.000000000	2	10	
LPA62 - PLUMAS COUNTY	CA3200138	MEADOW EDGE MHP	A	C	C	PLUMAS	53	31	CA3200138_001_001	WELL 01	WL	A	RT	08-20-2019	08:30:00	09-03-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1039	PERCHLORATE			UG/L	Y	4.000000000	4	6	
